0.53	63	0.778256
0.175	6	0.998996
0.235	83	0.997495
1.185	191	1.24694
0.24	107	0.943766
0.175	105	0.999998
0.57	48	1.0033
0.335	74	0.998106
0.335	35	0.999998
0.195	92	0.517699
0.23	76	0.999968
0.77	117	0.313036
0.215	12	0.998017
0.175	13	1.00043
0.545	153	0.985624
0.2	153	0.998416
0.255	36	0.962858
0.305	27	1.01346
0.635	16	0.999572
0.415	35	1.16266
0.285	86	1.00531
0.28	28	1.05864
0.595	189	1.01025
0.35	94	0.999014
0.37	17	0.974694
0.41	35	1.00126
1.3	3	0.999176
0.14	230	0.999999
0.29	249	0.998456
0.7	80	1.20992
0.36	115	0.999973
0.33	2	0.857157
0.77	28	1.00997
0.295	9	1.23989
0.155	3	0.999922
0.435	108	1.21094
0.135	46	0.999997
0.145	2	0.999997
0.635	3	0.716953
0.32	267	0.999978
0.185	85	1.00067
0.285	6	0.98847
0.46	84	0.999997
0.7	5	1.45077
0.64	88	0.997059
0.29	7	0.988541
0.515	17	0.99999
0.31	84	1.0637
0.935	8	0.992261
0.24	10	0.997429
0.425	17	0.99983
0.455	10	1.00168
0.44	28	0.604201
0.175	108	0.999998
0.36	111	0.999586
0.195	153	0.999236
0.33	22	0.751599
0.415	161	0.988128
0.22	16	0.998582
0.77	26	1.00725
0.245	9	1.00273
0.3	67	0.729739
0.54	172	0.802855
1.045	35	0.999625
0.15	63	0.999537
0.21	215	1.00245
0.27	4	0.999041
0.615	138	1.19455
0.37	30	0.991134
0.22	53	0.999906
0.48	8	1.40642
0.395	84	0.999379
0.18	94	1
0.58	86	0.456596
0.415	90	1.00554
0.135	86	0.999998
0.375	10	1.02738
0.695	8	1.00075
0.31	20	0.673948
1.31	59	1.58123
0.255	9	1.00405
0.38	147	1.00747
0.41	22	1.00139
0.41	163	1.17034
0.295	16	0.999734
0.56	23	1.03907
0.515	135	0.998955
0.25	24	1.00331
0.305	55	0.999905
0.68	38	0.955692
0.44	291	0.999887
0.68	107	1.00444
0.265	156	1.06081
0.385	120	0.794897
0.305	15	1.0132
0.15	51	0.999969
0.295	133	1.00242
0.41	104	0.996709
0.67	2	0.67847
0.345	318	0.98075
0.405	37	0.673936
0.22	93	1.00742
0.315	85	1.00503
0.355	11	0.993336
0.32	100	0.997251
0.27	4	0.940915
0.14	8	0.999972
0.79	78	1.25335
0.725	8	0.75101
0.435	35	0.994096
0.47	68	1.04783
0.54	136	0.986632
0.15	12	1.00263
0.235	5	0.995623
0.72	89	1.00003
0.37	27	0.99952
0.87	66	0.999879
0.685	13	1.07478
0.295	22	0.833594
0.325	9	1.00812
1.32	58	0.999951
0.3	170	0.989051
0.16	6	1.00072
0.485	21	0.464376
0.54	46	0.950614
0.63	29	0.919182
0.19	21	0.992226
0.485	13	0.999982
0.12	9	1
0.48	100	0.999996
0.625	26	0.998519
0.53	82	0.998023
0.35	41	0.999897
0.265	39	0.999093
0.87	15	0.783647
0.23	56	1
0.34	24	1.94674
1.445	2	0.998567
0.335	65	0.999876
0.72	34	0.865215
0.19	42	0.990165
0.26	24	1.00023
0.99	104	0.98926
0.31	64	0.999926
0.115	4	0.999985
0.95	130	0.976942
0.62	146	0.541433
0.42	33	0.906199
0.38	144	0.992422
1.03	159	0.951163
0.19	70	0.999313
0.28	96	0.999555
0.375	26	0.999197
0.26	41	0.999698
0.15	21	0.999964
0.32	69	0.771636
0.55	64	0.994872
0.385	52	0.99932
0.25	50	0.999997
0.56	166	0.99991
0.155	6	0.990401
0.465	6	1.02985
0.98	49	1.16358
0.8	52	1.15595
0.315	27	1.00022
0.2	111	0.999621
1.08	96	1
0.285	17	0.999972
0.605	36	0.947788
0.255	85	0.990298
0.25	102	1.0073
0.205	44	0.993389
0.385	31	1.01113
0.305	23	0.988325
0.205	11	1
0.75	100	1.67164
0.54	318	1.54546
0.425	45	0.975387
0.24	8	1.00265
0.645	220	0.999953
0.375	10	0.999996
0.99	132	1.01911
0.3	22	0.977106
0.245	142	0.988881
1.045	59	0.995448
0.2	23	0.989798
0.595	111	0.999982
0.325	101	0.999297
0.24	87	0.999996
0.355	209	0.999908
0.255	18	0.999162
0.45	158	0.541865
0.2	13	1.00305
0.265	6	0.998988
0.37	15	0.997625
0.35	21	0.999938
0.51	98	0.999275
0.19	16	0.993475
0.28	28	1.01277
0.745	27	0.716915
0.235	118	0.992647
0.19	13	0.999998
0.49	5	0.983262
0.23	3	0.707565
0.54	25	0.999377
0.21	12	0.994481
0.165	26	0.999975
0.22	4	0.999752
0.325	99	0.999207
0.725	28	0.854479
0.645	3	0.634444
0.265	52	2.02713
0.37	5	0.999572
0.205	102	1.00065
0.635	28	0.999815
0.805	164	0.988668
0.37	37	0.991952
0.26	55	0.999806
0.41	20	0.998475
0.355	74	0.846056
0.57	5	0.99868
0.17	25	0.999563
0.12	13	0.998732
0.15	180	0.999998
0.19	1	0.98411
0.515	60	1.00015
0.365	53	0.999081
0.295	14	1.00013
0.17	6	0.999999
0.38	54	0.684791
0.815	178	1.00194
0.12	15	0.999733
0.61	64	0.997965
0.185	25	0.999999
0.175	174	0.99975
0.255	158	0.99837
0.21	46	0.914622
0.42	27	0.992515
0.4	9	1.00455
0.335	3	0.99873
0.49	41	0.953592
0.335	5	0.999994
0.24	66	0.994413
0.21	116	0.999874
0.245	14	0.99134
0.14	15	0.999401
0.125	79	0.999244
0.305	17	1.02926
0.45	42	0.996261
0.205	32	1.001
0.35	91	0.99501
0.21	165	1.00162
0.59	119	0.665185
0.35	39	0.607303
0.485	45	0.991259
0.24	45	0.998501
0.5	39	1.0092
0.255	23	0.999311
0.22	42	1.03848
0.165	35	1
0.315	200	0.999271
0.51	87	0.997902
0.225	5	0.999678
0.67	7	0.685749
0.225	49	0.960468
0.445	121	0.998197
0.24	1	0.999749
0.32	2	0.998727
0.39	68	1.00006
0.605	41	1.01271
0.355	110	0.998776
0.505	7	1.18894
0.365	163	0.986039
0.4	45	1.29786
0.28	7	0.960418
0.23	93	1.05466
0.255	61	1.00482
0.41	63	1.00003
0.48	56	0.996433
0.27	23	0.748316
0.24	12	0.99795
0.66	7	1.00551
0.505	78	0.985543
0.345	13	0.550809
0.14	29	0.999999
0.175	114	0.997042
0.235	13	0.997941
0.39	54	1.53495
0.27	102	0.994335
0.26	40	0.999698
0.25	3	0.997381
1.07	12	1.39572
0.435	42	0.981151
0.135	100	0.999985
0.655	62	1.15418
0.35	33	0.99912
0.215	70	0.998908
